Service Operation,baseCRBQName,Service Domain,Role Definition
ReBQ Retrieve details about a payment order confirmation process,OrderConfirmation,Payment Order,Role for Retrieve details about a payment order confirmation process service operation
CoBQ Control the payment execution processing,ExecutionInitiation,Payment Order,Role for Control the payment execution processing service operation
ReBQ Retrieve details about the payment execution processing,ExecutionInitiation,Payment Order,Role for Retrieve details about the payment execution processing service operation
Initiate Direct Debits Service,DirectDebitsServiceFacility,Direct Debits Service,Role for Initiate Direct Debits Service service operation
Retrieve Details about Direct Debits Service,DirectDebitsServiceFacility,Direct Debits Service,Role for Retrieve Details about Direct Debits Service service operation
Update Details of Direct Debits Service,DirectDebitsServiceFacility,Direct Debits Service,Role for Update Details of Direct Debits Service service operation
EvCR Start a fraud evaluation for a production transaction set,FraudEvaluationAssessment,Fraud Evaluation,Role for Start a fraud evaluation for a production transaction set service operation
ReCr Retrieve details about a fraud evaluation assessment,FraudEvaluationAssessment,Fraud Evaluation,Role for Retrieve details about a fraud evaluation assessment service operation
ReBQ Retrieve details about rule set or decision tree based tests applied,RuleSetsandDecisionTrees,Fraud Evaluation,Role for Retrieve details about rule set or decision tree based tests applied service operation
ReBQ Retrieve details about model based tests applied,Models,Fraud Evaluation,Role for Retrieve details about model based tests applied service operation
InCR Initiate a consumer securities order,ConsumerSecuritiesOrderTransaction,Consumer Investments,Role for Initiate a consumer securities order service operation
UpCR Update details on an active consumer securities order,ConsumerSecuritiesOrderTransaction,Consumer Investments,Role for Update details on an active consumer securities order service operation
ReCR Retrieve details about a consumer securities order,ConsumerSecuritiesOrderTransaction,Consumer Investments,Role for Retrieve details about a consumer securities order service operation
ReBQ Retrieve bank quote for a security,Quote,Consumer Investments,Role for Retrieve bank quote for a security service operation
ReBQ Retrieve details about a consumer securities order compliance check,Compliance,Consumer Investments,Role for Retrieve details about a consumer securities order compliance check service operation
ReBQ Retrieve details about a funding check for a consumer securities order,FundingCheck,Consumer Investments,Role for Retrieve details about a funding check for a consumer securities order service operation
ReBQ Retrieve details about a consumer securities order,OrderInitiation,Consumer Investments,Role for Retrieve details about a consumer securities order service operation
Control Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Control Unit Trust Administrative Plan service operation
Create Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for te Unit Trust Administrative Plan service operation
Exchange Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Exchange Unit Trust Administrative Plan service operation
Grant Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Grant Unit Trust Administrative Plan service operation
Notify Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Notify Unit Trust Administrative Plan service operation
Request Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Request Unit Trust Administrative Plan service operation
Retrieve Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Retrieve Unit Trust Administrative Plan service operation
Update Unit Trust Administrative Plan,UnitTrustAdministrativePlan,Unit Trust Administration,Role for Update Unit Trust Administrative Plan service operation
Exchange Fund Accounting Routine,FundAccounting,Unit Trust Administration,Role for Exchange Fund Accounting Routine service operation
Exchange Fund Enrolment Routine,FundEnrolment,Unit Trust Administration,Role for Exchange Fund Enrolment Routine service operation
Exchange Fund Financial Reporting Routine,FundFinancialReporting,Unit Trust Administration,Role for Exchange Fund Financial Reporting Routine service operation
"Exchange Fund Investor, Middle and Back Office Service Routine",FundInvestor_MiddleandBackOfficeService,Unit Trust Administration,"Role for Exchange Fund Investor, Middle and Back Office Service Routine service operation"
Exchange Fund Management Fee Routine,FundManagementFee,Unit Trust Administration,Role for Exchange Fund Management Fee Routine service operation
Exchange Fund Tax Administration Routine,FundTaxAdministration,Unit Trust Administration,Role for Exchange Fund Tax Administration Routine service operation
Grant Fund Accounting Routine,FundAccounting,Unit Trust Administration,Role for Grant Fund Accounting Routine service operation
Grant Fund Enrolment Routine,FundEnrolment,Unit Trust Administration,Role for Grant Fund Enrolment Routine service operation
Grant Fund Financial Reporting Routine,FundFinancialReporting,Unit Trust Administration,Role for Grant Fund Financial Reporting Routine service operation
